x,y
2,4.61094
2.72169,-2.48437
2.54681,-0.219543
2.52815,-0.0022085
2.52796,-2.29833e-07
1.52796,-6.91918
-0.56217,-2.86973
-3.24959,-1.16167
-6.41115,-0.401293
-8.97408,-0.0891832
-9.91599,-0.00674708
-9.99939,-4.49058e-05
-9.99995,-2.01586e-09
-11,-0.0739191
-24.5301,-0.0369575
-51.5883,-0.0184787
-105.705,-0.00923936
-213.937,-0.00461968
-430.402,-0.00230984
-863.333,-0.00115492
-1729.19,-0.00057746
-3460.91,-0.00028873
-6924.36,-0.000144365
-13851.2,-7.21825e-05
-27705,-3.60913e-05
-55412.5,-1.80456e-05
-110828,-9.02282e-06
-221658,-4.51141e-06
-443318,-2.2557e-06
-886639,-1.12785e-06
